Year,All,Human,Natural,aerosol,Greenhouse,Land,Orbital,Ozone,Solar,Volcanic
1880,287.5031074,287.5001592,287.4622098,287.3627998,287.505983,287.4574722,287.4333069,287.4003873,287.3992015,287.4407844
1881,287.5535771,287.5475028,287.5020335,287.4274853,287.4923243,287.4045563,287.4071775,287.395704,287.4171823,287.4708549
1882,287.5295911,287.4628436,287.4927501,287.4203781,287.4528977,287.4380768,287.4248835,287.3864733,287.4478705,287.4680167
1883,287.4740621,287.4934325,287.3856841,287.4490323,287.5001915,287.4576053,287.4234407,287.3990287,287.4353421,287.4026555
1884,287.1472408,287.5627285,287.0774308,287.3731199,287.4879753,287.4402696,287.4441164,287.3959911,287.474246,287.0703867
1885,287.1886329,287.5624871,287.1115452,287.3849582,287.4754009,287.4892503,287.4176693,287.4131911,287.5321225,287.0698061
1886,287.2477204,287.5948898,287.209626,287.4212549,287.5057988,287.4781051,287.400932,287.4053304,287.4914971,287.1948543
1887,287.3076575,287.5842068,287.2163033,287.3858481,287.5475424,287.479963,287.4458775,287.3931092,287.4492426,287.2909609
1888,287.3727638,287.5285873,287.2425483,287.3503982,287.5115341,287.4768234,287.451626,287.4222535,287.4410248,287.3332118
1889,287.3897258,287.528623,287.2676528,287.3751787,287.4670058,287.4757502,287.3916536,287.4231502,287.449295,287.3422311
1890,287.3952004,287.5782467,287.2433992,287.4231952,287.4514486,287.4211399,287.4142017,287.3957826,287.4238028,287.3737467
1891,287.3441088,287.5472925,287.2687863,287.4288118,287.4996694,287.4296149,287.4595252,287.4033721,287.438238,287.3252184
1892,287.3428635,287.5503767,287.301865,287.3815138,287.5240529,287.4459562,287.4213748,287.4204715,287.4418983,287.3305418
1893,287.4883316,287.5696669,287.3009006,287.4378157,287.4998275,287.4635994,287.4600775,287.4296177,287.4496493,287.3806486
1894,287.5464305,287.5596363,287.3830991,287.4166633,287.5355189,287.4302934,287.4470827,287.4609353,287.4736779,287.4110737
1895,287.5777216,287.5046744,287.3800027,287.3949864,287.5520953,287.4370861,287.4580911,287.4401354,287.4898234,287.4797239
1896,287.5240477,287.5148442,287.4053392,287.4084705,287.5387063,287.4305169,287.4647302,287.4262905,287.4665406,287.4689413
1897,287.511661,287.4581733,287.4054792,287.4090943,287.5193399,287.4171588,287.446069,287.4154651,287.4513152,287.4761809
1898,287.5494424,287.4952422,287.3907129,287.3944974,287.4948272,287.3814292,287.4657003,287.4381435,287.4464531,287.478458
1899,287.5548407,287.523043,287.3773873,287.4410636,287.5373376,287.3884351,287.4964694,287.4084819,287.4733029,287.4361611
1900,287.5530588,287.5391027,287.4145923,287.4158993,287.5366455,287.4233069,287.4396992,287.3965473,287.428335,287.5296885
1901,287.5902552,287.5332376,287.447039,287.394627,287.5066288,287.3940688,287.4974173,287.4084875,287.4396271,287.495535
1902,287.5505291,287.5347614,287.4576357,287.4172542,287.5944534,287.4167919,287.4936351,287.4337692,287.4457917,287.4508835
1903,287.3673363,287.5596897,287.2407727,287.434611,287.5199668,287.4400723,287.4956793,287.4394314,287.4387322,287.2721609
1904,287.3971853,287.5188075,287.3059001,287.3962756,287.5701887,287.4303489,287.4447351,287.4510012,287.4332924,287.3280442
1905,287.4446717,287.498602,287.3786022,287.4231033,287.6098152,287.4440334,287.4962364,287.4618312,287.4409517,287.3900694
1906,287.5503382,287.4661225,287.3524348,287.4127955,287.5636421,287.4648953,287.4446574,287.4640454,287.3900174,287.4220155
1907,287.5339969,287.5501427,287.4018859,287.3923773,287.6035437,287.4880421,287.4587868,287.4716545,287.4198167,287.4070452
1908,287.5377356,287.5468979,287.3832958,287.3877516,287.5534342,287.4719845,287.4465946,287.4657581,287.4294235,287.411678
1909,287.5850677,287.5780185,287.4149562,287.4214689,287.5369455,287.4725676,287.4392523,287.4594318,287.4341641,287.4786854
1910,287.5710538,287.5475163,287.4581868,287.4206853,287.5650785,287.4510028,287.4650303,287.4284855,287.4598219,287.4608861
1911,287.6265491,287.5845329,287.5211353,287.4291513,287.5716891,287.4101444,287.457249,287.4505526,287.4564672,287.4940866
1912,287.5489376,287.5186058,287.4110515,287.4364659,287.5975713,287.439047,287.413501,287.464509,287.4116972,287.5026972
1913,287.460664,287.5346692,287.3422897,287.4257954,287.64137,287.4472048,287.4610394,287.4458745,287.4148092,287.4100575
1914,287.5133574,287.5755026,287.4335108,287.4385581,287.5871849,287.4646972,287.4425312,287.4383287,287.4313515,287.4210102
1915,287.5562774,287.549005,287.4883328,287.4440539,287.6058807,287.4287353,287.4320638,287.4625411,287.430296,287.4683032
1916,287.5816399,287.5626564,287.5162813,287.4010436,287.5710454,287.463596,287.4171048,287.4985591,287.398982,287.5038007
1917,287.6309341,287.5206346,287.5099767,287.4332333,287.5705778,287.5116071,287.4233082,287.487653,287.4304293,287.449649
1918,287.6119772,287.5591173,287.4957395,287.3951905,287.6050411,287.5025358,287.4209847,287.4832874,287.4533388,287.4709143
1919,287.6341381,287.600468,287.4832356,287.3991544,287.6359861,287.4544852,287.4509707,287.4154157,287.4708508,287.4508281
1920,287.6261812,287.5839158,287.4410209,287.5011687,287.5868161,287.4907082,287.4079416,287.4085155,287.4571683,287.4365224
1921,287.5935334,287.5845893,287.433168,287.3741829,287.6126045,287.4218831,287.4004762,287.467757,287.4194356,287.4989747
1922,287.627103,287.5969932,287.430951,287.4200676,287.6225363,287.4264909,287.4014562,287.4269689,287.4330756,287.5097796
1923,287.6740661,287.6236089,287.4531725,287.410541,287.641797,287.4549648,287.3694842,287.4983663,287.4914773,287.535803
1924,287.658886,287.5971979,287.4608507,287.4353478,287.6231534,287.4567947,287.4088293,287.4459389,287.4524141,287.4627236
1925,287.6499097,287.6580557,287.544058,287.4136443,287.6496248,287.4309023,287.395236,287.45482,287.4487442,287.4992274
1926,287.6187028,287.6561494,287.4995656,287.382302,287.6816287,287.4748968,287.4125263,287.4416288,287.4801923,287.4893116
1927,287.6660791,287.6158837,287.4595292,287.3965018,287.6574602,287.3623214,287.4520886,287.4622659,287.4070887,287.4782899
1928,287.6652601,287.6339239,287.4340586,287.3774463,287.6468669,287.4492148,287.4264108,287.4615777,287.4541014,287.5213901
1929,287.6392706,287.6522901,287.4452533,287.4131516,287.7514568,287.4645788,287.4235211,287.4106504,287.429788,287.48069
1930,287.6681226,287.6155938,287.4707868,287.3680361,287.6722545,287.3989277,287.415922,287.4423865,287.4516445,287.4963328
1931,287.669974,287.6376513,287.411942,287.3902204,287.6702896,287.4347685,287.4435738,287.4529123,287.4533643,287.4462907
1932,287.6684012,287.6456267,287.3969173,287.3449866,287.7284118,287.4310662,287.4035765,287.4617221,287.4257857,287.4268653
1933,287.6574743,287.6331972,287.4706555,287.3623864,287.7579792,287.4728952,287.4312632,287.4627856,287.4400408,287.4342841
1934,287.7128902,287.6358337,287.4819305,287.3922999,287.7188846,287.4737919,287.4421387,287.4811672,287.4148736,287.492369
1935,287.6724698,287.6464158,287.4948408,287.357572,287.7027773,287.4137398,287.3981925,287.4576933,287.453578,287.4526818
1936,287.6894182,287.6533078,287.455614,287.3466801,287.7457337,287.4329428,287.4305631,287.4431479,287.4794191,287.4413076
1937,287.7210243,287.6788828,287.4857702,287.3413609,287.733939,287.3832726,287.4643587,287.4820607,287.4754978,287.4619405
1938,287.7444619,287.6435501,287.5207691,287.3763678,287.7582601,287.4421876,287.4288838,287.5029443,287.4472417,287.4479769
1939,287.7411035,287.6253527,287.5181956,287.374322,287.7277403,287.4805244,287.4244349,287.4571873,287.4380366,287.443666
1940,287.7518129,287.6607148,287.4816397,287.3679346,287.7202488,287.4547016,287.4486003,287.4414317,287.4598441,287.5340079
1941,287.812232,287.7147662,287.4865008,287.3464693,287.7653714,287.4275504,287.456777,287.4839535,287.4442166,287.4623586
1942,287.7858607,287.6633267,287.4408586,287.3627162,287.770814,287.3914926,287.4571004,287.4712218,287.4276263,287.4432462
1943,287.7622226,287.6008984,287.4575519,287.3663196,287.7921144,287.4351557,287.440184,287.4983065,287.461975,287.4955734
1944,287.7286158,287.6383515,287.5220322,287.3409537,287.7785111,287.4072791,287.411602,287.5199034,287.4300476,287.4603542
1945,287.7286188,287.6584807,287.5206787,287.3461143,287.7546275,287.4039455,287.4219855,287.5222918,287.3966258,287.4505651
1946,287.6996582,287.7295251,287.529023,287.3472558,287.8033836,287.412383,287.4004995,287.5018055,287.4200456,287.4418253
1947,287.7208162,287.7295871,287.5499253,287.3658914,287.8626309,287.4397017,287.37091,287.5114681,287.4613931,287.4576135
1948,287.7387572,287.6878887,287.5193573,287.3230676,287.7965231,287.398029,287.4140521,287.4776755,287.4386904,287.4751733
1949,287.7195288,287.6474153,287.5440095,287.3098148,287.8114779,287.3855194,287.4581825,287.5252017,287.4683036,287.4988115
1950,287.722464,287.6862987,287.5456349,287.3136158,287.7726324,287.39237,287.4146151,287.4966536,287.5039012,287.5245577
1951,287.6849388,287.6865421,287.524648,287.3008857,287.7522393,287.3984614,287.3890862,287.4711649,287.4485637,287.4810169
1952,287.6658051,287.6811048,287.4732155,287.3076014,287.8127756,287.4316038,287.4489821,287.4655666,287.4971468,287.4485591
1953,287.6895386,287.666819,287.4831993,287.2979699,287.7843461,287.3914317,287.4446352,287.504363,287.4862958,287.5073933
1954,287.6721103,287.6716166,287.4968911,287.2532642,287.8325752,287.4017455,287.414468,287.4632245,287.4370106,287.5229575
1955,287.7293841,287.6434857,287.4733246,287.2804631,287.777115,287.3907693,287.4079225,287.4659635,287.4655635,287.4917693
1956,287.7138069,287.6188106,287.5309824,287.2597872,287.7832513,287.3444578,287.4123623,287.4979947,287.5578732,287.5109203
1957,287.7428744,287.6303623,287.5172633,287.2592024,287.8595198,287.3938202,287.427053,287.5343971,287.5428633,287.5179569
1958,287.7877669,287.6578865,287.5071096,287.2487859,287.8413921,287.3907435,287.4235285,287.5273778,287.4926869,287.5546869
1959,287.7769399,287.6803535,287.503974,287.2473728,287.8208761,287.4222786,287.3831336,287.5062219,287.4763536,287.5481768
1960,287.7308318,287.6930601,287.5475974,287.2474773,287.8952546,287.4019427,287.4312319,287.4982977,287.4567407,287.4953057
1961,287.7961333,287.7365461,287.5281507,287.2531964,287.875407,287.3965416,287.4210464,287.5241741,287.5049612,287.423349
1962,287.7995911,287.6865781,287.5153372,287.2631389,287.9115206,287.3765375,287.4136734,287.5154749,287.5054334,287.4289394
1963,287.7325736,287.71681,287.4689965,287.2533524,287.9114405,287.3747834,287.4538615,287.4756184,287.5128934,287.3576996
1964,287.5480618,287.722324,287.2766059,287.2340127,287.9345519,287.3858697,287.4798312,287.4856719,287.470012,287.2599275
1965,287.5616571,287.7553957,287.2995628,287.2237695,287.8807595,287.3277101,287.4623403,287.5103521,287.4705337,287.270471
1966,287.6249776,287.7019982,287.3660732,287.2266387,287.8907876,287.3337829,287.4735066,287.5013429,287.4756236,287.2681479
1967,287.6730353,287.7035489,287.4317186,287.2155408,287.9280859,287.3523557,287.4817509,287.5138768,287.4506458,287.3331242
1968,287.7184636,287.7545544,287.4097432,287.2201303,287.9749804,287.3665638,287.4385121,287.5447355,287.4994772,287.3549888
1969,287.7079621,287.8198722,287.4190145,287.2369953,288.022858,287.3656567,287.4144851,287.5180108,287.4810077,287.3616277
1970,287.7574818,287.8019093,287.4172566,287.2159382,288.0268006,287.3497248,287.4199146,287.4865681,287.4725906,287.3484137
1971,287.7931114,287.8385153,287.4277314,287.2225795,288.0893587,287.3319248,287.4510599,287.5185431,287.4700735,287.4565434
1972,287.8345728,287.8339504,287.4921121,287.2109454,288.1141236,287.3450363,287.4669731,287.5153729,287.4827903,287.4707097
1973,287.854332,287.8148919,287.4997349,287.1836577,288.090202,287.3247085,287.4396582,287.5274294,287.4712302,287.4904851
1974,287.8566694,287.8401567,287.5027196,287.2128942,288.1008843,287.3173477,287.4546652,287.4957358,287.4470125,287.4588154
1975,287.8057444,287.8379436,287.4459978,287.174464,288.0878628,287.394407,287.4842113,287.4812365,287.4562668,287.4193588
1976,287.8570338,287.8496261,287.3931986,287.1358106,288.1317045,287.4039551,287.4663942,287.5071501,287.4409922,287.3917549
1977,287.9148938,287.8825329,287.4276216,287.1760558,288.1351496,287.3367413,287.4468893,287.5161111,287.4954448,287.4772624
1978,287.9208907,287.8592742,287.4613565,287.1845512,288.1372031,287.3734823,287.4545815,287.4711512,287.4422471,287.4562295
